Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Jharkhand, 31-01-2021, M, 11.31, 10005873.00, 41.34
Jharkhand, 28-02-2021, M, 12.17, 10198512.00, 42.46
Jharkhand, 31-03-2021, M, 12.75, 9655793.00, 40.38
Jharkhand, 30-04-2021, M, 16.48, 9559528.00, 41.67
Jharkhand, 31-05-2021, M, 15.96, 9288715.00, 40.15
Jharkhand, 30-06-2021, M, 12.74, 10751681.00, 44.67
Jharkhand, 31-07-2021, M, 9.40, 10261921.00, 40.97
Jharkhand, 31-08-2021, M, 15.96, 9916315.00, 42.58
Karnataka, 31-01-2021, M, 3.28, 21869339.00, 39.87
Karnataka, 28-02-2021, M, 2.50, 22537746.00, 40.69
Karnataka, 31-03-2021, M, 1.16, 21854018.00, 38.84
Karnataka, 30-04-2021, M, 2.03, 23110478.00, 41.36
Karnataka, 31-05-2021, M, 5.27, 23612747.00, 43.61
Karnataka, 30-06-2021, M, 5.55, 22953054.00, 42.43
Karnataka, 31-07-2021, M, 2.05, 22332124.00, 39.73
Karnataka, 31-08-2021, M, 1.49, 22829342.00, 40.30
Kerala, 31-01-2021, M, 5.46, 9264917.00, 34.39
Kerala, 28-02-2021, M, 4.30, 9336761.00, 34.21
Kerala, 31-03-2021, M, 5.90, 8804500.00, 32.78
Kerala, 30-04-2021, M, 7.52, 9603392.00, 36.35
Kerala, 31-05-2021, M, 23.52, 7458637.00, 34.10
Kerala, 30-06-2021, M, 15.77, 7752486.00, 32.16
Kerala, 31-07-2021, M, 7.52, 8439403.00, 31.85
Kerala, 31-08-2021, M, 7.81, 9544849.00, 36.11
Madhya Pradesh, 31-01-2021, M, 6.15, 23183713.00, 39.51
Madhya Pradesh, 28-02-2021, M, 2.02, 22589307.00, 36.80
Madhya Pradesh, 31-03-2021, M, 1.50, 24004347.00, 38.82
Madhya Pradesh, 30-04-2021, M, 1.35, 22705824.00, 36.58
Madhya Pradesh, 31-05-2021, M, 5.16, 21795692.00, 36.44
